#integrated ctr data(1000uM pb on rcut hematite, zero inten free)
#h 	k 	l 	I 	Ier 	Bl 		DL
0.000 2.000 5.971 89.472 13.691 1.722 2.000
0.000 2.000 5.998 78.896 12.716 1.722 2.000
0.000 2.000 6.051 60.327 10.714 1.722 2.000
0.000 2.000 6.131 47.179 9.482 1.722 2.000
0.000 2.000 6.211 34.915 8.685 1.722 2.000
0.000 2.000 6.291 30.676 8.176 1.722 2.000
0.000 2.000 6.371 26.079 7.820 1.722 2.000
0.000 2.000 6.451 21.291 7.592 1.722 2.000
0.000 2.000 6.531 19.266 7.346 1.722 2.000
0.000 2.000 6.611 17.145 6.343 1.722 2.000
1.000 -0.000 -5.171 29.402 5.612 -5.000 2.000
1.000 -0.000 -5.091 40.412 5.599 -5.000 2.000
1.000 -0.000 -4.931 42.720 5.636 -5.000 2.000
1.000 -0.000 -4.851 26.905 5.330 -5.000 2.000
1.000 -0.000 -4.771 23.754 5.313 -5.000 2.000
1.000 -0.000 -4.691 22.801 5.353 -5.000 2.000
1.000 -0.000 -4.611 20.522 5.341 -5.000 2.000
1.000 -0.000 -4.531 20.736 5.372 -5.000 2.000
1.000 -0.000 -4.451 21.037 5.383 -5.000 2.000
1.000 -0.000 -4.371 21.251 5.296 -5.000 2.000
1.000 -0.000 -4.291 20.993 5.986 -5.000 2.000
1.000 -0.000 -4.211 22.330 5.774 -5.000 2.000
1.000 -0.000 -4.131 24.059 5.792 -5.000 2.000
1.000 -0.000 -4.051 24.624 6.723 -5.000 2.000
1.000 -0.000 -3.971 26.380 6.321 -5.000 2.000
1.000 -0.000 -3.891 27.573 6.266 -5.000 2.000
1.000 -0.000 -3.811 28.572 7.048 -5.000 2.000
1.000 -0.000 -3.731 32.041 7.827 -5.000 2.000
1.000 -0.000 -3.651 35.435 7.845 -5.000 2.000
1.000 -0.000 -3.571 41.876 8.413 -5.000 2.000
1.000 -0.000 -3.491 47.230 9.133 -5.000 2.000
1.000 -0.000 -3.411 53.868 10.628 -5.000 2.000
1.000 -0.000 -3.331 63.532 12.071 -5.000 2.000
1.000 -0.000 -3.278 74.019 13.694 -5.000 2.000
1.000 -0.000 -3.251 82.566 14.770 -5.000 2.000
1.000 -0.000 -3.224 89.240 15.243 -5.000 2.000
1.000 -0.000 -3.198 99.407 15.880 -5.000 2.000
1.000 -0.000 -3.171 114.784 16.685 -5.000 2.000
1.000 -0.000 -3.144 134.071 17.711 -5.000 2.000
1.000 -0.000 -3.118 163.739 19.530 -5.000 2.000
1.000 -0.000 -3.091 214.603 22.509 -5.000 2.000
1.000 -0.000 -3.064 316.595 28.959 -5.000 2.000
1.000 -0.000 -2.931 162.672 18.815 -5.000 2.000
1.000 -0.000 -2.904 119.782 15.943 -5.000 2.000
1.000 -0.000 -2.878 93.130 14.112 -5.000 2.000
1.000 -0.000 -2.851 74.613 12.841 -5.000 2.000
1.000 -0.000 -2.824 60.275 11.931 -5.000 2.000
1.000 -0.000 -2.798 53.099 11.291 -5.000 2.000
1.000 -0.000 -2.771 47.940 10.857 -5.000 2.000
1.000 -0.000 -2.744 41.233 10.192 -5.000 2.000
1.000 -0.000 -2.718 35.719 9.456 -5.000 2.000
1.000 -0.000 -2.691 33.994 8.770 -5.000 2.000
1.000 -0.000 -2.611 25.427 7.443 -5.000 2.000
1.000 -0.000 -2.531 21.896 6.691 -5.000 2.000
1.000 -0.000 -2.451 19.654 6.005 -5.000 2.000
1.000 -0.000 -2.371 15.006 5.475 -5.000 2.000
1.000 -0.000 -2.291 13.096 5.082 -5.000 2.000
1.000 -0.000 -2.211 14.732 4.787 -5.000 2.000
1.000 -0.000 -2.131 15.489 4.573 -5.000 2.000
1.000 -0.000 -2.051 16.708 5.096 -5.000 2.000
1.000 -0.000 -1.971 18.314 4.548 -5.000 2.000
1.000 -0.000 -1.891 22.544 5.156 -5.000 2.000
1.000 -0.000 -1.811 25.151 5.041 -5.000 2.000
1.000 -0.000 -1.731 26.536 4.757 -5.000 2.000
1.000 -0.000 -1.651 29.755 4.664 -5.000 2.000
1.000 -0.000 -1.571 31.264 4.300 -5.000 2.000
1.000 -0.000 -1.491 33.106 4.081 -5.000 2.000
1.000 -0.000 -1.411 35.206 3.978 -5.000 2.000
1.000 -0.000 -1.331 36.041 3.712 -5.000 2.000
1.000 -0.000 -1.251 36.465 3.541 -5.000 2.000
1.000 -0.000 -1.171 36.351 3.345 -5.000 2.000
1.000 -0.000 -1.091 36.562 3.059 -5.000 2.000
1.000 -0.000 -1.011 37.644 2.947 -5.000 2.000
1.000 -0.000 -0.931 34.885 2.804 -5.000 2.000
1.000 -0.000 -0.851 33.545 2.724 -5.000 2.000
1.000 -0.000 -0.771 33.160 2.809 -5.000 2.000
1.000 -0.000 -0.691 31.343 2.536 -5.000 2.000
1.000 -0.000 -0.611 28.577 2.246 -5.000 2.000
1.000 0.000 0.610 27.513 1.872 3.000 2.000
1.000 0.000 0.610 27.898 1.877 3.000 2.000
1.000 0.000 0.610 28.153 1.886 3.000 2.000
1.000 0.000 0.610 28.312 2.001 3.000 2.000
1.000 0.000 0.610 28.555 1.986 3.000 2.000
1.000 0.000 0.611 28.012 1.958 3.000 2.000
1.000 0.000 0.690 29.756 2.102 3.000 2.000
1.000 0.000 0.690 30.252 2.111 3.000 2.000
1.000 0.000 0.690 30.689 2.123 3.000 2.000
1.000 0.000 0.690 30.699 2.118 3.000 2.000
1.000 0.000 0.690 30.781 2.122 3.000 2.000
1.000 0.000 0.691 30.329 2.114 3.000 2.000
1.000 0.000 0.770 31.502 2.319 3.000 2.000
1.000 0.000 0.770 32.517 2.334 3.000 2.000
1.000 0.000 0.770 32.846 2.338 3.000 2.000
1.000 0.000 0.770 33.103 2.344 3.000 2.000
1.000 0.000 0.770 33.270 2.348 3.000 2.000
1.000 0.000 0.771 32.037 2.329 3.000 2.000
1.000 0.000 0.850 33.468 2.522 3.000 2.000
1.000 0.000 0.850 34.344 2.538 3.000 2.000
1.000 0.000 0.850 34.751 2.539 3.000 2.000
1.000 0.000 0.850 35.138 2.549 3.000 2.000
1.000 0.000 0.850 35.218 2.548 3.000 2.000
1.000 0.000 0.851 34.031 2.532 3.000 2.000
1.000 0.000 0.930 34.756 2.711 3.000 2.000
1.000 0.000 0.930 35.903 2.730 3.000 2.000
1.000 0.000 0.930 36.614 2.740 3.000 2.000
1.000 0.000 0.930 36.655 2.748 3.000 2.000
1.000 0.000 0.930 36.982 2.747 3.000 2.000
1.000 0.000 0.931 35.437 2.707 3.000 2.000
1.000 0.000 1.090 35.826 2.947 3.000 2.000
1.000 0.000 1.090 37.624 3.102 3.000 2.000
1.000 0.000 1.090 38.270 3.110 3.000 2.000
1.000 0.000 1.090 38.872 3.126 3.000 2.000
1.000 0.000 1.090 38.888 3.120 3.000 2.000
1.000 0.000 1.091 36.850 3.065 3.000 2.000
1.000 0.000 1.170 36.109 3.252 3.000 2.000
1.000 0.000 1.170 38.178 3.273 3.000 2.000
1.000 0.000 1.170 38.317 3.282 3.000 2.000
1.000 0.000 1.170 38.844 3.296 3.000 2.000
1.000 0.000 1.170 39.411 3.303 3.000 2.000
1.000 0.000 1.171 36.912 3.241 3.000 2.000
1.000 0.000 1.250 35.324 3.410 3.000 2.000
1.000 0.000 1.250 37.574 3.437 3.000 2.000
1.000 0.000 1.250 37.826 3.447 3.000 2.000
1.000 0.000 1.250 38.544 3.460 3.000 2.000
1.000 0.000 1.250 38.902 3.465 3.000 2.000
1.000 0.000 1.251 36.148 3.402 3.000 2.000
1.000 0.000 1.330 35.078 3.765 3.000 2.000
1.000 0.000 1.330 36.690 3.609 3.000 2.000
1.000 0.000 1.330 37.381 3.624 3.000 2.000
1.000 0.000 1.330 37.623 3.634 3.000 2.000
1.000 0.000 1.330 37.705 3.642 3.000 2.000
1.000 0.000 1.331 35.384 3.578 3.000 2.000
1.000 0.000 1.410 33.884 3.790 3.000 2.000
1.000 0.000 1.410 35.328 3.806 3.000 2.000
1.000 0.000 1.410 36.014 3.816 3.000 2.000
1.000 0.000 1.410 36.485 3.833 3.000 2.000
1.000 0.000 1.410 37.051 3.851 3.000 2.000
1.000 0.000 1.411 34.377 3.777 3.000 2.000
1.000 0.000 1.490 33.034 4.014 3.000 2.000
1.000 0.000 1.490 33.814 4.042 3.000 2.000
1.000 0.000 1.490 35.000 4.069 3.000 2.000
1.000 0.000 1.490 35.050 4.054 3.000 2.000
1.000 0.000 1.490 35.626 4.060 3.000 2.000
1.000 0.000 1.491 33.648 3.999 3.000 2.000
1.000 0.000 1.570 31.044 4.256 3.000 2.000
1.000 0.000 1.570 32.507 4.297 3.000 2.000
1.000 0.000 1.570 33.269 4.304 3.000 2.000
1.000 0.000 1.570 33.411 4.314 3.000 2.000
1.000 0.000 1.570 33.592 4.320 3.000 2.000
1.000 0.000 1.571 31.252 4.243 3.000 2.000
1.000 0.000 1.650 29.425 4.537 3.000 2.000
1.000 0.000 1.650 30.378 4.553 3.000 2.000
1.000 0.000 1.650 30.585 4.552 3.000 2.000
1.000 0.000 1.650 30.610 4.752 3.000 2.000
1.000 0.000 1.650 31.140 4.569 3.000 2.000
1.000 0.000 1.651 29.257 4.482 3.000 2.000
1.000 0.000 1.730 27.018 4.784 3.000 2.000
1.000 0.000 1.730 27.165 4.761 3.000 2.000
1.000 0.000 1.730 27.418 4.864 3.000 2.000
1.000 0.000 1.730 28.364 4.778 3.000 2.000
1.000 0.000 1.730 28.504 4.766 3.000 2.000
1.000 0.000 1.731 26.869 5.032 3.000 2.000
1.000 0.000 1.810 24.449 4.951 3.000 2.000
1.000 0.000 1.810 24.629 5.061 3.000 2.000
1.000 0.000 1.810 25.380 4.970 3.000 2.000
1.000 0.000 1.810 25.698 4.968 3.000 2.000
1.000 0.000 1.810 25.736 4.965 3.000 2.000
1.000 0.000 1.811 24.481 5.248 3.000 2.000
1.000 0.000 1.890 21.353 5.143 3.000 2.000
1.000 0.000 1.890 21.655 5.130 3.000 2.000
1.000 0.000 1.890 21.996 5.241 3.000 2.000
1.000 0.000 1.890 22.446 5.135 3.000 2.000
1.000 0.000 1.890 22.968 5.131 3.000 2.000
1.000 0.000 1.891 24.291 5.420 3.000 2.000
1.000 0.000 1.970 19.719 5.304 3.000 2.000
1.000 0.000 1.970 19.838 5.304 3.000 2.000
1.000 0.000 1.970 19.939 5.403 3.000 2.000
1.000 0.000 1.970 19.985 5.415 3.000 2.000
1.000 0.000 1.970 21.207 5.318 3.000 2.000
1.000 0.000 1.971 20.578 5.606 3.000 2.000
1.000 0.000 2.051 18.333 5.033 3.000 2.000
1.000 0.000 2.131 17.066 5.250 3.000 2.000
1.000 0.000 2.211 15.166 5.549 3.000 2.000
1.000 0.000 2.291 16.004 5.907 3.000 2.000
1.000 0.000 2.371 18.899 6.357 3.000 2.000
1.000 0.000 2.451 20.491 6.885 3.000 2.000
1.000 0.000 2.531 23.341 7.730 3.000 2.000
1.000 0.000 2.611 32.780 8.557 3.000 2.000
1.000 0.000 2.691 39.491 10.074 3.000 2.000
1.000 0.000 2.718 44.874 10.794 3.000 2.000
1.000 0.000 2.744 49.242 11.555 3.000 2.000
1.000 0.000 2.771 55.075 12.207 3.000 2.000
1.000 0.000 2.798 61.281 12.758 3.000 2.000
1.000 0.000 2.824 71.479 13.319 3.000 2.000
1.000 0.000 2.851 87.840 14.339 3.000 2.000
1.000 0.000 2.878 111.780 15.807 3.000 2.000
1.000 0.000 2.904 148.732 18.042 3.000 2.000
1.000 0.000 2.931 214.726 22.164 3.000 2.000
1.000 0.000 3.064 262.469 25.425 3.000 2.000
1.000 0.000 3.091 191.643 21.046 3.000 2.000
1.000 0.000 3.118 152.556 18.650 3.000 2.000
1.000 0.000 3.144 126.829 17.156 3.000 2.000
1.000 0.000 3.171 108.763 16.114 3.000 2.000
1.000 0.000 3.198 97.507 15.428 3.000 2.000
1.000 0.000 3.224 86.445 14.987 3.000 2.000
1.000 0.000 3.251 78.778 14.520 3.000 2.000
1.000 0.000 3.278 75.438 13.364 3.000 2.000
1.000 0.000 3.331 64.019 11.868 3.000 2.000
1.000 0.000 3.411 52.813 10.370 3.000 2.000
1.000 0.000 3.491 48.154 9.389 3.000 2.000
1.000 0.000 3.571 40.992 8.684 3.000 2.000
1.000 0.000 3.651 35.492 8.163 3.000 2.000
1.000 0.000 3.731 34.661 7.700 3.000 2.000
1.000 0.000 3.811 29.990 7.311 3.000 2.000
1.000 0.000 3.891 30.048 7.050 3.000 2.000
1.000 0.000 3.971 26.372 6.806 3.000 2.000
1.000 0.000 4.051 25.422 6.578 3.000 2.000
1.000 0.000 4.131 25.748 6.560 3.000 2.000
1.000 0.000 4.211 22.658 6.266 3.000 2.000
1.000 0.000 4.291 22.962 5.979 3.000 2.000
1.000 0.000 4.371 22.604 5.786 3.000 2.000
1.000 0.000 4.451 21.487 5.677 3.000 2.000
1.000 0.000 4.531 21.559 5.714 3.000 2.000
1.000 0.000 4.611 22.663 5.775 3.000 2.000
1.000 0.000 4.691 22.909 5.482 3.000 2.000
1.000 0.000 4.771 24.408 5.689 3.000 2.000
1.000 0.000 4.851 30.601 5.834 3.000 2.000
1.000 0.000 4.931 53.055 6.435 3.000 2.000
1.000 0.000 5.011 175.121 9.450 3.000 2.000
1.000 0.000 5.091 36.542 5.363 3.000 2.000
1.000 0.000 5.171 28.694 5.152 3.000 2.000
1.000 1.000 -5.891 81.481 11.640 -4.139 2.000
1.000 1.000 -5.864 73.697 10.724 -4.139 2.000
